Layer,Name,GEOID,Longitude,Latitude,LEQ_2016-2020,LEQ_2015-2019,LEQ_2014-2018,LEQ-J_2016-2020,LEQ-J_2015-2019,LEQ-J_2014-2018,LEQ-D_2016-2020,LEQ-D_2015-2019,LEQ-D_2014-2018,LEQ-S_2016-2020,LEQ-S_2015-2019,LEQ-S_2014-2018,FOR_2016-2020,FOR_2015-2019,FOR_2014-2018
Community area,West Ridge,2,-87.695017,42.001583,11.72462258,12.15741322,11.33760641,2.615858302,3.897738496,2.749240606,11.95737084,12.89478875,12.5239948,24.10340268,26.001833,23.75886585,40.65711106,40.87418711,40.07831652
Community area,Hermosa,20,-87.734741,41.924353,21.8042455,21.71678709,23.00648855,6.361004084,6.403929885,6.424603507,21.25176277,23.12920289,24.64569422,45.2444994,43.00420339,42.93813467,37.64171911,34.68617801,33.46973532
Community area,Avondale,21,-87.711219,41.938673,12.17360228,13.87349459,14.90316008,1.507032055,2.056513413,1.622204616,12.84683239,14.81190096,16.41889523,24.61086783,30.69123355,34.72990367,27.51538642,28.55688793,30.41934187
Community area,Logan Square,22,-87.699149,41.922768,8.219944995,9.064964056,9.455643465,3.766027112,3.662244885,3.952671781,6.683677779,9.103360367,9.688898854,33.00734665,33.27324993,36.44030638,15.63141793,17.39310928,17.05464475
Community area,Humboldt Park,23,-87.720917,41.90008,9.529344309,10.11500667,10.32725718,0.465771763,0.43698575,2.056164663,11.23925051,15.11692164,14.89053597,18.90461854,20.39735388,20.66659974,18.65081925,17.78117939,16.58682251
Community area,West Town,24,-87.676358,41.901216,4.657172915,4.566905177,4.999134592,0.769009041,0.61151826,1.364331115,3.188572653,3.654511561,3.879103432,23.95202204,32.32327191,32.40400469,13.27591823,13.08816613,13.42404476
Community area,Austin,25,-87.763117,41.894113,2.631723691,2.717019397,3.01823042,0.857485267,0.648848078,0.853672239,3.151260871,2.798459333,3.128319427,2.855161291,2.568052815,1.791282846,6.959554128,7.277917631,6.55935667
Community area,West Garfield Park,26,-87.730233,41.878602,0.268375799,0.230648216,0.49445691,0.317872021,0.256186788,0.792119684,0.302651345,0.27789187,0.537987143,0.005965234,0.008547249,0.007707734,0.72807901,0.801366898,0.805204221
Community area,East Garfield Park,27,-87.705892,41.878923,0.704434272,0.744903522,0.63930627,0.515929976,0.543161817,0.400595808,0.678194904,0.67303381,0.665205732,0.442137379,0.999797057,0.755113967,2.199295716,1.83483257,2.134854731
Community area,Near West Side,28,-87.663513,41.874016,1.543610915,1.028623391,1.209901847,1.984580828,1.489555566,1.035141808,0.993497607,0.871524481,1.106803309,5.333451171,5.262517658,6.272491957,17.59265587,14.21823292,14.38367251
Community area,North Lawndale,29,-87.717218,41.860197,1.746653778,1.559129768,1.828283933,0.971306279,0.006040032,0.011463634,1.90252528,1.608753675,1.990686738,2.298128402,3.376910415,3.228807901,4.417253952,4.07688377,3.701595558
Community area,Uptown,3,-87.655899,41.965822,6.702671273,4.736437894,5.476872293,3.182493574,4.307320855,4.807506798,5.67336886,5.64011486,6.878351368,16.74930848,17.42289152,19.29705181,23.29735791,22.3303544,22.51594774
Community area,South Lawndale,30,-87.714,41.839091,23.13247521,21.20480331,20.82026177,2.228999769,2.59836233,2.991640519,26.82885441,27.03524562,27.86890326,38.70112479,41.47375865,46.50342399,39.55126736,39.92092294,38.11616614
Community area,Lower West Side,31,-87.66757,41.850277,16.42899002,18.36204835,16.65084341,2.130641691,1.096152722,1.635475654,15.22645944,16.53808506,16.10164113,44.81147278,52.41792451,51.66745949,31.84438539,33.18624693,32.98124143
Community area,Loop,32,-87.625194,41.878881,2.938202317,1.260032467,0.928697579,0.000215847,0.000203964,0.008592481,0.437044348,0.518119911,0.736085015,12.90770912,9.549815486,2.741937096,28.84855992,25.52507361,24.89788147
Community area,Near South Side,33,-87.620344,41.857196,1.558884841,2.921717489,2.725714104,0.010831618,0.008455532,1.579065468,0.398246469,0.691590613,1.174663618,7.012315672,16.27401284,9.539008517,20.81055297,19.94364953,22.02252139
Community area,Armour Square,34,-87.633976,41.842083,33.8438708,31.32658715,32.75400487,3.833486732,4.399637725,7.74585095,29.71210074,34.31993831,36.18861501,58.02850644,60.33383909,56.96910063,52.94051175,49.30627665,50.74625431
Community area,Douglas,35,-87.61868,41.835122,1.704128332,1.753410088,1.368479086,2.375444416,1.061564012,0.132156309,1.144851334,1.418535611,1.479687648,3.721997611,4.308168514,2.303451513,20.08240456,26.03507422,21.9582643
Community area,Oakland,36,-87.603217,41.823754,0.997254531,0.310174204,0.318123125,0.00018802,0,0,1.608487111,1.064703719,0.67993785,0.002235311,0,0,10.36456083,6.577974957,7.789943425
Community area,Fuller Park,37,-87.632427,41.809082,1.284321029,1.470111045,1.660414362,0.016814087,0.661118699,0.380032629,2.336523483,1.987819688,2.307315137,0.128390995,0.58146059,1.279471203,4.631821622,4.588473609,5.120043593
Community area,Grand Boulevard,38,-87.61786,41.812947,0.74476496,0.441736279,0.384761486,5.92E-06,0.000152865,6.84E-05,0.813960802,0.464734829,0.397235695,0.790392257,1.23019828,1.287122404,3.083736104,2.694676586,2.858915071
Community area,Kenwood,39,-87.596186,41.808918,0.467553837,0.461573604,0.465756771,0.147360858,0.693985101,0.715384381,0.208574676,0.270919421,0.412576386,2.287567187,1.248093286,0.913946945,8.67316699,9.238942247,10.31539247
Community area,Lincoln Square,4,-87.687513,41.975182,5.823037821,6.18862081,5.571145534,1.781753939,2.760106771,1.841814305,5.879553875,6.287743253,5.384456204,11.585599,11.96780083,14.1328891,21.14670286,23.11304387,21.34379124
Community area,Washington Park,40,-87.617936,41.792356,0.622821443,0.417312681,0.185725528,0.000332999,0.001327632,0.000729875,0.812273439,0.000556664,0.000667818,0.853207774,1.660534983,0.598792931,2.325274925,2.13486893,1.671794583
Community area,Hyde Park,41,-87.592305,41.794088,1.826120235,1.350780542,1.619328292,0.356519939,0.802879905,1.050033769,1.759724911,1.520971184,1.915200442,3.527538295,1.759963592,2.581981006,19.00844696,19.73018607,19.34283444
Community area,Woodlawn,42,-87.594924,41.778877,0.445300849,0.922721934,1.248402771,0.44298471,1.800276614,2.623230956,0.438325591,0.495076511,0.691376365,0.335363949,0.696762966,0.76356974,5.815028696,6.426360632,5.561267715
Community area,South Shore,43,-87.57279,41.761583,1.192075204,1.211912202,1.288248492,1.105409859,1.092373757,0.903582132,1.441598686,1.395478918,1.58120258,0.422353362,0.587469239,0.620198474,3.523150563,4.153990857,3.563740531
Community area,Chatham,44,-87.615965,41.740206,0.158456582,0.459918034,0.427750308,0,0,0,0.178839369,0.512157799,0.583608903,0.153133752,0.260829799,0.177326814,1.299393759,3.18723189,2.759779533
Community area,Avalon Park,45,-87.586347,41.744197,3.78E-06,0.000184756,0.000206684,0,0,5.12E-05,6.03E-06,0.000441394,0.000439213,0,0,7.16E-05,1.160096722,1.439564686,1.65764514
Community area,South Chicago,46,-87.551435,41.741243,4.327850972,3.987992393,4.240063126,0.000193147,0.391005127,0.365590167,4.087368623,3.526733409,4.092871147,14.9410049,13.61367133,10.68400932,10.17948163,11.77696734,10.89915302
Community area,Burnside,47,-87.59647,41.728181,0.830970195,0.810578102,0.998630095,0,0,0,1.378101636,1.320200882,0.7924137,0.000116066,0,1.86748995,6.867253052,4.332106739,2.950995808
Community area,Calumet Heights,48,-87.57272,41.729673,1.130787863,1.34882932,1.409482266,1.342050733,0.606646415,0.651724669,0.361201286,0.507216688,0.55250806,2.412053007,2.673645491,2.96583627,3.192425911,4.77328669,4.797517761
Community area,Roseland,49,-87.623366,41.706588,0.157522222,0.148627613,0.1348401,0,0.000206085,0.00021404,0.082054719,0.043592888,0.070453453,0.466392668,0.325049308,0.344193164,1.769820604,1.953259949,2.069457783
Community area,North Center,5,-87.683839,41.947811,1.339301847,2.421259838,2.299918998,0.366056551,0.713534386,0.784718531,0.739864692,0.785249807,1.213567822,8.172873037,9.36806539,8.486868888,8.905381554,12.42359659,12.2807852
Community area,Pullman,50,-87.598252,41.706131,0.949045444,2.153201982,2.22868205,0,4.999713928,6.160844817,1.080123023,2.095489556,1.546438408,0.812275676,2.155806666,4.168622971,3.248542172,2.686906172,2.571949826
Community area,South Deering,51,-87.570058,41.690639,5.575705916,6.506406838,6.261959721,2.026780301,1.113895353,1.493545989,5.455469655,5.184933386,3.977380317,12.30120194,10.43219048,11.24801307,9.828294413,14.56261172,16.73229124
Community area,East Side,52,-87.534907,41.707306,11.91573013,13.82374793,15.20942484,1.357169905,2.007960623,1.385298657,11.95216486,12.85173806,14.72809501,28.18316658,29.95391198,36.70042679,24.98621699,26.93548697,31.99197447
Community area,West Pullman,53,-87.635745,41.67382,1.617638136,1.225783692,1.348069539,0,1.189426724,1.22435198,2.085965638,1.610134005,1.683023117,1.310135581,1.151586643,1.216769538,4.29639496,3.278555434,2.945370799
Community area,Riverdale,54,-87.602849,41.660137,0.009827977,0.598545346,0.567873081,0,0,0.003697618,0.009719295,0.610102122,0.562687407,0.018947459,6.963900174,6.199372094,0.866944172,1.275972905,1.193895517
Community area,Hegewisch,55,-87.556803,41.668188,6.491592255,7.196414695,4.672787067,0.002707112,0.003552261,0.801236592,6.597470585,7.13317597,4.393571808,13.01664699,16.73793106,13.11074709,16.14201201,18.30731306,16.59324979
Community area,Garfield Ridge,56,-87.764246,41.796185,8.696733932,9.303772889,8.907616701,2.401388452,2.145111275,1.13617222,9.151418159,9.029685572,8.581019825,15.91524408,16.08832837,15.21165529,22.56388561,22.54960232,23.45230962
Community area,Archer Heights,57,-87.726365,41.810873,16.77774077,17.63086813,20.7047275,1.125010204,3.885535964,4.794262815,19.61163021,20.61705022,22.9351377,29.27049719,35.48144523,34.32334152,38.60185761,36.92998647,38.57670986
Community area,Brighton Park,58,-87.698859,41.817364,23.71935387,24.10366447,24.65120596,3.495510169,3.540384834,3.243760344,29.10111178,29.21221112,29.52619861,34.90662544,35.18691639,40.02931361,40.98014843,41.92306151,42.52548582
Community area,McKinley Park,59,-87.6725,41.829927,19.90299878,20.99351121,21.31215385,2.281190705,2.394017589,2.486987825,20.40722853,21.42143348,21.97522132,39.13651413,38.64016194,38.39460557,39.9016356,38.51487685,39.52375662
Community area,Lake View,6,-87.656001,41.944236,1.018277161,1.52493022,1.433571961,0.430598405,0.299211582,0.340661919,0.501729019,0.875083807,0.823780585,6.434050099,7.918042191,9.088106805,11.79020009,11.9762529,11.89605324
Community area,Bridgeport,60,-87.648784,41.836151,17.41022127,15.86823369,15.9968619,5.696469307,2.006459299,2.070421025,15.79912387,18.18915067,18.13693549,32.83927993,30.23555326,33.47594801,35.19526007,34.07462703,33.83278744
Community area,New City,61,-87.659171,41.809017,16.76603208,12.06471082,11.9499273,3.432613721,2.763130245,2.359304566,20.79915603,18.49469564,20.05219444,21.60018702,17.27070879,18.24529502,27.2790273,22.28331501,22.98847873
Community area,West Elsdon,62,-87.724213,41.792977,14.96142391,16.18131848,15.65428264,1.910259624,4.352748417,4.58781717,18.31448751,16.99430041,15.61729642,24.8360939,38.2637002,38.5716718,35.27770237,35.6978723,36.87327429
Community area,Gage Park,63,-87.696433,41.795429,17.68230967,17.92873549,18.51376125,6.566159064,3.164222382,2.420717864,20.5815967,22.82330641,23.47911023,21.34412073,21.45306931,25.07208652,35.53710214,37.08344803,37.44199911
Community area,Clearing,64,-87.768517,41.779582,7.566622847,6.811266954,6.204953552,2.203929431,2.083541361,0.648688987,9.090287665,6.589209211,6.979708996,6.339523951,9.140782856,9.742892268,19.63999797,17.4215232,18.0029459
Community area,West Lawn,65,-87.726927,41.769774,16.52640269,15.19408756,14.67631807,6.930117974,3.862551929,2.83037948,18.76952893,17.56187146,17.43526658,24.18573383,25.44666066,29.28784723,33.72687241,32.21242236,33.38508426
Community area,Chicago Lawn,66,-87.695667,41.771849,13.11842365,8.663123791,9.110503663,2.243902684,1.679419265,1.898199598,16.20999936,13.70634744,13.98838164,14.74706816,12.05976751,13.14777663,25.08705562,18.42304731,18.97314956
Community area,West Englewood,67,-87.666598,41.775926,1.617875891,2.209673458,2.169422929,0.31033291,0.19523015,0.50780912,2.363062747,3.446259298,3.11288992,0.514256562,0.568390836,0.283891475,5.147430188,4.776746647,4.479459147
Community area,Englewood,68,-87.642502,41.777201,0.800756139,0.710651586,0.835552429,1.579402401,0.578440895,0.690781498,0.61662402,0.715320371,0.829393178,0.345332733,0.913294602,0.609080551,3.357392777,3.012552288,3.452546636
Community area,Greater Grand Crossing,69,-87.616139,41.763251,0.410816254,0.479639362,0.210828055,0,0,0.002451465,0.37547792,0.284680529,0.06326316,1.045140198,1.310935428,0.824638036,1.264807855,1.94677491,1.335484993
Community area,Lincoln Park,7,-87.649491,41.922696,1.175829044,1.2999258,1.393606393,0.456927138,0.570058611,0.687068309,0.852237307,0.734876208,0.943262092,4.114493714,6.469994251,6.272371909,13.25661768,12.15045168,12.08479242
Community area,Ashburn,70,-87.708363,41.745756,5.118169678,5.52894045,4.709040033,0.732517707,1.394125737,1.319362583,5.731134913,6.310653518,6.034219277,10.66038278,9.393035348,7.731839511,17.10511254,17.40718214,15.341424
Community area,Auburn Gresham,71,-87.656305,41.744203,0.708258,0.196189478,0.122552348,0.006118824,0.004404003,0.004142026,1.12491564,0.307155251,0.211864161,0.011713256,0.078136937,0.000646598,2.868772752,2.133265068,1.778930465
Community area,Beverly,72,-87.675072,41.713148,0.231870013,0.667059572,0.599720092,0.000169038,0.001534803,0.001665078,0.387929658,0.979584172,0.878511909,0.005214946,0.178968192,0.215850935,3.694780538,3.654694695,3.882798867
Community area,Washington Heights,73,-87.648897,41.717495,0.065673473,0.110666402,0.193133595,0,0,0,0.027677664,0.041995396,0.128238645,0.239170447,0.387043899,0.45626468,0.805179192,0.84352221,0.88189081
Community area,Mount Greenwood,74,-87.713189,41.694876,0.222361517,0.404162824,0.482379778,0.000979272,0.396595152,0.882924528,0.000869356,0.175059626,0.271326326,1.417339287,2.258111292,1.684807521,3.713893227,3.96845994,4.05736614
Community area,Morgan Park,75,-87.669062,41.689729,0.404311395,0.676479487,0.724893673,0.782090365,1.178615538,1.449232835,0.444433264,0.522512156,0.393570385,0.171534811,0.32101769,0.744495637,3.684761159,4.47874905,3.081835478
Community area,O'Hare,76,-87.893699,41.975696,12.58843015,13.54016691,13.05088754,0.717733376,2.1312291,1.643876866,11.03488165,12.02205478,12.93229108,32.48099669,28.53440592,26.23869527,55.60482937,41.51416167,38.7197391
Community area,Edgewater,77,-87.663419,41.986719,6.580312587,5.690532128,6.386087953,1.283692767,3.225759022,4.390554478,4.761823282,4.215041385,4.951096337,16.56827018,15.61866702,16.39113221,26.66938346,23.40786904,24.432785
Community area,Near North Side,8,-87.633318,41.899611,0.661944377,1.34094252,1.265434872,9.83E-05,0.000308865,0.000290158,0.640961515,0.964008632,0.851072355,1.265639325,1.775363918,2.873858998,16.22443279,15.83743165,15.81744074
Community area,Edison Park,9,-87.81378,42.007627,1.032783043,0.705608285,1.592387382,0.00206951,0.000477249,0.000474894,0.102906732,0.206224188,0.408099783,5.594792962,3.320576935,8.774036992,9.002399085,9.493534509,8.845354142
