Layer,Name,GEOID,Longitude,Latitude,EDX_2016-2020,EDX_2015-2019,EDX_2014-2018,PCI_2016-2020,PCI_2015-2019,PCI_2014-2018,PCI_2013-2017,PCI_2012-2016,PCI_2011-2015,PCI_2010-2014,PCI-W_2016-2020,PCI-W_2015-2019,PCI-W_2014-2018,PCI-W_2013-2017,PCI-W_2012-2016,PCI-W_2011-2015,PCI-W_2010-2014,PCI-B_2016-2020,PCI-B_2015-2019,PCI-B_2014-2018,PCI-B_2013-2017,PCI-B_2012-2016,PCI-B_2011-2015,PCI-B_2010-2014,PCI-A_2016-2020,PCI-A_2015-2019,PCI-A_2014-2018,PCI-A_2013-2017,PCI-A_2012-2016,PCI-A_2011-2015,PCI-A_2010-2014,PCI-H_2016-2020,PCI-H_2015-2019,PCI-H_2014-2018,PCI-H_2013-2017,PCI-H_2012-2016,PCI-H_2011-2015,PCI-H_2010-2014,PCI-P_2016-2020,POV_2016-2020,POV_2015-2019,POV_2014-2018,POV_2013-2017,POV_2012-2016,POV_2011-2015,POV_2010-2014
,,,,,"Economic Diversity Index, 2016-2020","Economic Diversity Index, 2015-2019","Economic Diversity Index, 2014-2018","Per capita income, 2016-2020","Per capita income, 2015-2019","Per capita income, 2014-2018","Per capita income, 2013-2017","Per capita income, 2012-2016","Per capita income, 2011-2015","Per capita income, 2010-2014","Per capita income, Non-Hispanic White, 2016-2020","Per capita income, Non-Hispanic White, 2015-2019","Per capita income, Non-Hispanic White, 2014-2018","Per capita income, Non-Hispanic White, 2013-2017","Per capita income, Non-Hispanic White, 2012-2016","Per capita income, Non-Hispanic White, 2011-2015","Per capita income, Non-Hispanic White, 2010-2014","Per capita income, Non-Hispanic Black, 2016-2020","Per capita income, Non-Hispanic Black, 2015-2019","Per capita income, Non-Hispanic Black, 2014-2018","Per capita income, Non-Hispanic Black, 2013-2017","Per capita income, Non-Hispanic Black, 2012-2016","Per capita income, Non-Hispanic Black, 2011-2015","Per capita income, Non-Hispanic Black, 2010-2014","Per capita income, Asian or Pacific Islander, 2016-2020","Per capita income, Asian or Pacific Islander, 2015-2019","Per capita income, Asian or Pacific Islander, 2014-2018","Per capita income, Asian or Pacific Islander, 2013-2017","Per capita income, Asian or Pacific Islander, 2012-2016","Per capita income, Asian or Pacific Islander, 2011-2015","Per capita income, Asian or Pacific Islander, 2010-2014","Per capita income, Hispanic or Latino, 2016-2020","Per capita income, Hispanic or Latino, 2015-2019","Per capita income, Hispanic or Latino, 2014-2018","Per capita income, Hispanic or Latino, 2013-2017","Per capita income, Hispanic or Latino, 2012-2016","Per capita income, Hispanic or Latino, 2011-2015","Per capita income, Hispanic or Latino, 2010-2014","Per capita income, Native American, 2016-2020","Poverty rate (% of residents), 2016-2020","Poverty rate (% of residents), 2015-2019","Poverty rate (% of residents), 2014-2018","Poverty rate (% of residents), 2013-2017","Poverty rate (% of residents), 2012-2016","Poverty rate (% of residents), 2011-2015","Poverty rate (% of residents), 2010-2014"
Community area,Montclare,18,-87.79803300,41.92930600,0.798774827608443,0.810675001888149,0.804126044255623,29920.1404298919,30941.0038972965,28788.2651305032,29586.0066891009,29492.321683354,25023.4760785332,22515.1533435453,35808.5725112876,43778.9426118387,39879.030717466,41813.5747224711,44487.7572143771,43891.6430813157,32502.666493013,33955.7343219825,36703.3930295991,37477.2567210151,33144.1755797989,27215.5744374462,22978.9561737198,28066.879178943,33167.4131480362,40710.2318814062,38352.6348546857,57925.0938665511,51623.1354322681,47269.2110548818,29815.9354112146,26093.2753944202,24434.7726013217,23342.091127839,22411.3763894147,21925.9096393713,16587.9749680765,16747.8364960574,25517.6037442014,12.1812673584601,11.6889146001058,12.8030975603987,13.8692866606065,13.5459622611919,15.2281362834071,14.5309608364153
Community area,Belmont Cragin,19,-87.76550200,41.92727500,0.799761371285839,0.799617288226404,0.800567435077535,22805.9156773885,21776.4502682445,20907.6267606234,20433.1217851926,19861.3987414758,19232.5520678707,18575.0159177513,32952.4601977726,31218.864983519,31296.217166958,30560.4149229093,29739.0266296578,30077.1219844247,30612.9037454769,33217.7407700063,26737.3960912949,27414.5755477483,24832.1410560179,24100.4023441349,22100.486387957,20344.0276995301,28167.9038049746,28302.0559423695,29218.7323992783,28553.4841305195,26481.1681468063,29508.0715269129,32193.3852697789,20407.9627457653,19496.0335395628,18455.4324294916,17734.9082434999,17331.8764307721,16583.543616558,15828.298974767,26418.4537770903,15.1762274293536,15.7922978934644,16.993259463196,19.6991331916601,18.9725328315985,20.318817122575,20.6673503772531
Community area,West Ridge,2,-87.69501700,42.00158300,0.772778535303349,0.772781209891843,0.785905153351759,29551.4675949581,29916.5085728848,29013.9666480987,29091.6250780349,28779.5081349863,29008.7460415211,28661.1732541131,40258.8092649919,37271.5795038663,37033.2243059715,37587.9481722654,36937.0585647524,38853.3852954466,36972.6085931028,23511.5736617783,23238.5695942391,22153.2648060676,23110.5204164789,22929.7842040122,23673.3605942639,24670.1261973011,22805.1871534323,20979.0276999746,19784.2575407975,20263.8104848458,19916.481301572,19296.4139527832,19107.6479979081,21131.472264992,18543.6823907814,18825.70897844,17953.894321197,18518.0265142289,17569.4348831355,18494.4616679748,6516.20078397118,17.0660331424847,19.520282091658,19.5443993632941,18.8621415193182,21.8474447839125,20.9470515399518,18.2189811423969
Community area,Hermosa,20,-87.73474100,41.92435300,0.789314219346118,0.792059682585068,0.791778798689294,25582.6611709245,23735.8925388898,21732.7308116745,20227.1453727558,18645.9089490202,17812.4408431253,17077.5350197794,56588.44683612,41401.1614974078,42223.5083204501,35150.9920166432,34380.8018777813,32527.2472138129,34306.1873054923,25423.5918870454,28541.8256541542,26918.3134388859,27771.3500319509,29345.3076521578,23163.3945326484,17655.8829368152,25603.4172812594,33970.8395172557,31703.5123918483,30007.1888444476,38471.7640393148,38618.5284978671,36654.9420536933,22178.6878889061,20373.8051890446,18113.3476203024,17249.5551686331,16531.5413318794,16041.0676104186,15093.0604893149,22074.1748148872,12.815123703671,16.4582651730274,18.9940674958022,20.399487336465,21.6194548535514,22.400233251636,21.4177577259958
Community area,Avondale,21,-87.71121900,41.93867300,0.761558254943948,0.77146221719717,0.781978307611609,37563.841613937,35722.8391987291,32508.5431199008,31017.1030011736,28261.6340144751,25738.6870238907,26002.6905338331,59519.2622839096,57595.7047977754,51261.1093707182,49033.4374220973,46190.8578362081,40625.1225019868,38467.817581508,38950.6811151637,35963.2918481139,30481.5421681582,32175.1277004637,25085.1632199688,29230.7992452262,30883.5311821955,68204.6767374864,52583.7546794384,50729.6813371734,50107.8732544047,46786.2048723187,42898.0831786606,42465.4401537071,21684.7679100668,20064.3289501496,18365.0444925759,16959.3418960148,16711.5274025819,15413.3771032765,16333.9893002056,8762.10289520554,14.0280977716538,14.321270625066,16.0784219750702,18.6063796772935,20.0067352300433,20.2884018295385,18.6744139742876
Community area,Logan Square,22,-87.69914900,41.92276800,0.638528036697647,0.633510901049931,0.660434414248454,55978.7997243294,54282.4402277014,50679.682459877,48070.569500131,44340.1247470405,42194.7795947959,40878.6220285399,77962.1797566162,73245.1645846454,69664.108820128,66963.6900020491,62328.8761359791,57876.7446948091,56457.0371815016,30506.1838749483,26946.6023703628,24334.1462681643,23830.8321514723,21327.0223044018,21909.4456787399,24636.9025996406,75999.0740213685,72790.4406573228,71330.8214054048,69750.6726674198,64019.4541927908,60736.6002520158,66043.0283269237,25989.7896795865,23974.4612782984,22426.2064088358,20893.2183499865,19119.212530065,18966.4285553258,18719.8055409461,26361.5304514164,11.7051450219358,11.3164168289958,11.6293846895767,12.9928085261584,14.8320211017375,15.8397519367186,17.738046749161
Community area,Humboldt Park,23,-87.72091700,41.90008000,0.772174290202635,0.763458353202243,0.769134948409836,21783.2114478626,19079.4828806295,18703.3042099824,17050.9971498392,16301.0948155625,16635.6576195905,16379.3259985339,50809.4493243735,46381.2020528667,45908.9451674827,42356.283224137,40707.0259129552,44035.6849941603,43531.8738377628,18579.6589870126,18102.0955037688,16822.3626287706,15462.1552920752,14184.2361421631,14537.040848393,13854.1734160896,64814.9452270744,38336.4616879956,35927.3372630146,34498.2312763153,29174.6840659887,27314.2716606246,35014.3463811028,18634.3834180951,16683.8269696996,16265.9184022432,15930.6529319598,15667.1734010606,15183.9640325988,15030.8151712265,12287.8465768253,27.2538714442266,26.6808956070045,28.9531743294294,30.7703031664662,30.694588525221,31.702461140641,34.1816189277723
Community area,West Town,24,-87.67635800,41.90121600,0.531354157427176,0.538897806070567,0.553671782327745,72484.9106122245,68152.2714832152,64069.5246834848,62912.2535100421,58303.7989730872,55267.7590408699,53200.3610476094,85742.7627814994,82301.5080454714,79292.304995481,77821.1205335901,75733.6966324493,72035.2926085398,68463.3209633978,39935.0378675399,36667.0948165109,29311.2343164717,29327.8550817072,26480.8008986334,23387.6635054435,22247.8997800428,117938.478047487,97663.7464350564,85013.8182267903,85115.3668565798,74296.3476837859,72666.7517793419,66440.2475555437,34390.9056624599,31609.4844505257,29773.3418954752,26949.4664659018,23477.8406635065,23003.327973711,22479.6621827427,13170.6592449818,8.81368168177738,10.8919416610081,11.7942947970926,12.5278730901016,14.6279444937242,15.277093776314,15.4406638737852
Community area,Austin,25,-87.76311700,41.89411300,0.760665128877246,0.755630251368219,0.767823619880461,22703.1358519949,23651.7282459047,21420.2710898096,20374.0405596757,19710.0548616358,19184.2435729829,18506.5044953624,39279.0340417389,34455.1947899782,35536.1939760238,35781.4338396558,32741.7752213554,33541.7125298394,33757.3902952354,21582.7596773327,20348.598086002,18967.2846101672,18268.7975177095,17953.4464352499,17695.4748599889,16740.5242427301,173837.12789952,139513.168348526,114599.769246997,129597.513951341,139512.462667071,36910.2939697159,25953.480354649,21606.9014573188,21016.9432429416,19133.8613705213,19336.5935198493,17381.1931454112,16042.6496757726,16323.1279294673,32705.7146033015,26.399337099636,25.3834501888885,26.8762486213932,27.472769674883,28.4346263302282,28.3566612476296,30.4188450240057
Community area,West Garfield Park,26,-87.73023300,41.87860200,0.721693774708781,0.730740955802859,0.729454797478636,15667.5535570587,15021.0094127515,14123.7897341278,13686.056184698,13357.3850654384,13479.9141681036,12884.8639986025,18492.6707692807,16413.686813845,17564.5990374665,17440.415357324,24829.4977232549,22368.8618504818,21004.2038229273,15444.8723614261,15157.5269772681,14057.6440012151,13585.5220753139,13409.5827717864,13472.1710212859,12761.4761799943,20503.9446859957,16882.3500077641,,,,,,16787.2387576441,11971.8260979012,17583.8754114724,25341.1029600475,26007.0326298969,11832.4904099329,12528.5454124227,,36.2284122693688,39.0036085963692,40.9149891355906,42.577644806227,47.4010081593014,47.3835423823479,48.7205370449767
Community area,East Garfield Park,27,-87.70589200,41.87892300,0.721910529373212,0.719234830288125,0.700539861951473,17066.8603603441,16757.4648161101,15213.5750280429,16250.9707062633,16880.8971232512,15199.4094961767,14983.4971291733,40108.3064584486,35914.9843954636,32130.1271139777,33913.6063509691,45813.6010260407,39683.6269596755,43447.6894298914,15323.4503594054,14919.6148134213,13726.400994758,15103.0950919197,15137.897633617,14080.847221368,13674.2143819964,37114.6573065475,52864.8687089503,10068.970532796,10405.0831044868,66641.2173728969,79957.7925476102,77425.5626213789,24191.3466815606,29368.4670019666,24120.8967585463,20264.3618575736,25535.8219067763,20505.520802622,19941.9651347938,,45.4570181620967,44.3511986623673,46.8129020950791,44.6804217067029,42.9951286191148,47.6135199078629,43.3573083347858
Community area,Near West Side,28,-87.66351300,41.87401600,0.495931727430377,0.545143094485232,0.546302297740925,64325.8766815903,47491.898560534,45577.9565418505,45323.4950312451,43485.3042013568,42473.3888907485,41276.5893720963,86245.3587940743,84282.9030235223,82001.4863254107,81297.0168964033,77917.9746527954,76905.756308766,74388.5934091287,31127.1296053366,26012.5654099494,25845.3140756766,23692.7220498212,23346.6282347312,22463.7170331204,19795.6394274771,63567.378565978,60680.0848258582,55697.3946761389,54461.0732724243,53811.9830534698,49002.6966712445,49205.7875780599,50884.4039544582,48065.9414029229,44623.1577501763,45366.3557363422,40059.9263433967,38238.4707753459,35651.4562856921,9919.32675985621,18.8365220692947,25.4373414697025,27.5018334041168,26.376491262162,27.102183419233,27.6710859529162,29.1017039954057
Community area,North Lawndale,29,-87.71721800,41.86019700,0.762110652826096,0.749592278031579,0.737542918912316,18632.3833044163,16469.437621553,15480.7173362502,14903.0841418186,14377.9083013668,13440.8661590435,13707.544037763,37393.4474287277,30572.9062372845,32489.961660256,32052.0235643461,27344.4911725019,26169.1355994217,28790.4431736527,17568.2350900593,15990.3114343248,14774.9145340255,14174.0241820239,13623.6200802475,12291.0793738721,12614.2959244565,58114.866566161,60085.1037593682,55243.9494886957,48576.4971967897,55618.1167657293,67701.6892155337,31857.5044892924,15631.731243828,15295.418792221,13535.8860507156,15046.9321808162,15209.9969704491,14176.914919512,15143.7912211824,10700.4137957807,36.0482243668568,38.13909172783,40.4899120155983,41.5038193849351,43.8219842938775,45.9638445072411,43.0343874865103
Community area,Uptown,3,-87.65589900,41.96582200,0.654315584616548,0.619092758726261,0.592425318106379,44455.8898442234,49457.0765285371,49199.3705882912,47044.707706291,46106.1542292288,46942.6585958581,46880.833440779,58177.5451500888,60143.3896982551,59290.4466940983,56735.4502543374,57676.9253821591,58256.1148178999,55972.0576226454,20530.7375072598,18520.763224879,17633.3286384904,16425.5037500375,15787.6006329732,15682.9382197337,17562.7932131799,42562.4046296585,35654.7783551725,34894.3465857468,29819.8851414875,30136.6329644372,38506.9785629861,38491.5071626434,29790.2875016346,22696.7997633729,21977.9604100143,24709.6661659491,26829.3692488665,27389.5657842006,25448.3077983529,33354.3480556357,20.7615514325651,17.6657769265917,18.0563369132707,19.5675589870562,20.5860256085705,20.278123535998,20.4446255447344
Community area,South Lawndale,30,-87.71400000,41.83909100,0.722069717409669,0.747681844556525,0.742017590869539,16112.3250734513,13713.7297711375,12464.2542944709,12229.0010772509,11930.5763421448,12515.3052423006,11511.3309748366,24527.695648729,19862.7410164613,20070.9777067038,21609.2726948715,23380.0721787848,24101.3965694356,23031.3715033684,7363.93686866958,4665.12416201658,4795.09362401927,5509.50570170942,5619.32539912753,6992.91209074142,6309.55709607093,44488.185564402,19126.0133568643,18735.7428623832,7938.17577670376,9758.74200554237,5476.75044224404,5923.27431812659,16164.1215689406,14590.8118449289,13535.6448714403,13150.0325619026,12703.3749947483,12172.8539745791,12012.5543151933,28743.4969733574,25.1517199911022,27.9704984354139,31.5339345035503,31.8567624464823,30.7054817885845,30.8497408706081,33.785345150192
Community area,Lower West Side,31,-87.66757000,41.85027700,0.765040861389445,0.791842785854406,0.800562137889391,32505.2234348074,28702.901735673,26180.80072105,24457.8912240129,22324.2078084791,19568.5711565041,19287.5798981618,49404.9628778728,45908.4100383823,42159.7681454836,41225.9261811915,39507.4524694895,39739.8482267013,39034.4303431115,41974.826305897,41670.4427483047,31029.9679692285,31898.3154904066,30959.1414840277,28240.662946597,24103.5213195214,36274.0726473176,33865.7328018243,33285.8019236531,34936.3106367118,34784.3737758447,29264.1073468037,29445.2988341422,25707.3170286162,22296.7525777739,20917.2696926345,19190.042648165,17303.5079472312,15887.7044389601,16152.8703567799,29025.0495956662,14.0925988249024,15.4104922940335,22.1331217234453,21.8727386667361,26.7914709423352,30.4640704134262,29.2051258503855
Community area,Loop,32,-87.62519400,41.87888100,0.376759827783187,0.356215037014619,0.371410850114772,98255.4801187442,86882.1490159734,83937.8547888872,82550.2609794437,78638.4852024652,78705.0670306287,74962.0148249958,110818.081546769,112857.216837236,103009.384720447,105771.060003278,102713.59665196,101717.083566922,97754.448881338,66751.9978575526,50240.5787287495,54038.9614889764,44823.283746333,39640.5018518341,37643.9488418182,41170.5829306144,89263.0889805596,65309.7472122373,69048.1866003824,65025.757502528,62354.2816274127,66735.2705870045,64134.6869068567,60028.0921163762,53614.5297544257,64538.9323357498,61462.9325124706,67860.205948473,70842.8156447285,53420.4992824531,7658.8108986446,9.49801120675891,11.3817703092548,11.5005554785264,12.8474560071638,13.3962129842381,13.5008731120604,13.0976113080947
Community area,Near South Side,33,-87.62034400,41.85719600,0.276795316524897,0.364680516094327,0.427143195328776,91617.8742978467,87308.7438064876,85143.1662760311,83715.0021906949,79043.713118162,71785.7204717653,66683.545716201,104139.829648408,100719.68061471,99543.2391152497,105040.837241729,95459.8425799742,91810.0388342212,87008.958116508,61694.0359972067,68134.8931234775,74094.5505108107,69848.3446213088,69630.583626589,62189.7224468128,60380.181884911,103184.770304946,106088.746772641,96069.6670129689,94873.4611306809,98076.5944484361,81084.3448813093,74562.2445338384,70902.0761684056,100193.03587507,79638.7249492874,78380.9876751182,66461.2852205884,65059.0033403917,65071.7977796676,,7.62270405194064,10.2572695971698,11.8642757095186,12.0915685336786,12.9178253122209,11.6451173268848,12.0152011551251
Community area,Armour Square,34,-87.63397600,41.84208300,0.775447936328071,0.741691368723352,0.739051538324975,26335.167340822,21748.9110101515,19689.5171102059,20186.3038453208,18718.0466864618,17272.745199173,17381.5461620647,50697.2790976075,45795.5618460179,43206.624446051,45546.6502105676,38995.5848487514,37528.6238546153,38668.1370286609,11030.2109990614,12203.7583186825,10155.5575971329,9430.16315555547,11725.5059534661,10586.1321535711,8576.95835036769,22933.708482471,20048.7765844343,17879.4178943093,18070.9392511618,16471.523166969,15328.0533008391,15827.8474626265,48027.4801088262,26786.482333087,29509.0162414057,29324.7094570406,35699.372999967,26729.5131601023,22656.3188202581,,28.328197576126,37.3926237377569,36.9432477226337,41.4368440048189,38.6789972811935,39.8788887161479,40.7459596884753
